date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2019-10-31,168.51,168.56,163.55,164.99,164.99,2639274,0,1,MMM
2019-10-30,168.23,168.57,167.03,168.37,168.37,1780100,0,1,MMM
2019-10-29,168.03,169.95,167.51,168.81,168.81,2669200,0,1,MMM
2019-10-28,166.48,169.71,166.2,169.06,169.06,3137500,0,1,MMM
2019-10-25,162.51,167.63,162.13,166.09,166.09,3104700,0,1,MMM
2019-10-24,165.16,165.25,159.63,161.89,161.89,5953300,0,1,MMM
2019-10-23,167.41,168.76,166.56,168.76,168.76,2712300,0,1,MMM
2019-10-22,166.27,168.91,165.1,167.54,167.54,2064000,0,1,MMM
2019-10-21,165.47,166.15,164.76,165.94,165.94,1998600,0,1,MMM
2019-10-18,163.56,164.27,162.98,163.1,163.1,2693700,0,1,MMM
2019-10-17,163.14,165.49,163.08,163.54,163.54,1944600,0,1,MMM
2019-10-16,163.1,164.2,162.12,162.18,162.18,1935200,0,1,MMM
2019-10-15,159.35,164.02,159.35,162.98,162.98,3098600,0,1,MMM
2019-10-14,158.04,162.39,157.34,160.51,160.51,3269800,0,1,MMM
2019-10-11,154.13,159.6,154.11,158.1,158.1,4670200,0,1,MMM
2019-10-10,150.95,153.09,150.87,152.31,152.31,3192000,0,1,MMM
2019-10-09,152.34,152.44,150.79,150.99,150.99,3358600,0,1,MMM
2019-10-08,152.33,152.8,150.58,150.74,150.74,2781800,0,1,MMM
2019-10-07,155,155.35,153.52,153.52,153.52,2471200,0,1,MMM
2019-10-04,155.23,156.05,154.4,155.82,155.82,2646400,0,1,MMM
2019-10-03,155.14,155.46,150.81,155.23,155.23,3025700,0,1,MMM
2019-10-02,157.06,157.22,154.63,155.65,155.65,2972300,0,1,MMM
2019-10-01,165,165.21,158.17,158.38,158.38,3271500,0,1,MMM
2019-09-30,165.21,165.57,163.94,164.4,164.4,2508500,0,1,MMM
2019-09-27,164.48,165.64,163.52,164.53,164.53,2870300,0,1,MMM
2019-09-26,164,164.41,162.8,163.83,163.83,2763300,0,1,MMM
2019-09-25,164.76,164.98,163.69,164,164,2758200,0,1,MMM
2019-09-24,167.05,167.55,164.16,164.74,164.74,2986800,0,1,MMM
2019-09-23,165.49,167.43,164.5,166.76,166.76,1938600,0,1,MMM
2019-09-20,167.43,169.17,166.48,166.76,166.76,3698900,0,1,MMM
2019-09-19,167.39,168.81,166.91,167.07,167.07,1623000,0,1,MMM
2019-09-18,167.61,168.05,165.25,167.44,167.44,2096700,0,1,MMM
2019-09-17,167.76,168.57,166.5,168.07,168.07,2716400,0,1,MMM
2019-09-16,171.21,171.21,167.91,169.67,169.67,2459300,0,1,MMM
2019-09-13,170.59,172.48,169.86,171.44,171.44,2534200,0,1,MMM
2019-09-12,169.62,171.85,168.61,170.58,170.58,2870400,0,1,MMM
2019-09-11,169.86,169.89,165.37,168.08,168.08,3579100,0,1,MMM
2019-09-10,166.16,169.1,166.01,168.86,168.86,3240200,0,1,MMM
2019-09-09,165,167.85,164.69,165.94,165.94,3091300,0,1,MMM
2019-09-06,164.64,164.88,162.95,163.94,163.94,1762300,0,1,MMM
